Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
SÓLLER;Hostal Sóller SL (B57948200);Alta;;Hostel Sóller - Ca ses Madrines;4401870.867000001;Carrer DE SANTA TERESA, 27. 07100 SÓLLER, Mallorca;475931.48479999974;14/06/2023;ABT/1;;Excepció article 5.5 llei 8/2012, Albergs;0;Allotjaments;;Alberg;10;60;Sóller;2.718989542901724;39.76642419243254
MONTUÏRI;PORTALS I FINESTRES S.L. (B57017550);Alta;;EMBAT;4379837.114999999;Carrer RECTOR ESCARRER, 4. 07230 MONTUÏRI, Mallorca;498470.68500000006;01/10/2024;ABT/2;;Excepció article 5.5 llei 8/2012, Albergs;482;Allotjaments;;Alberg;9;38;Montuïri;2.982195505882316;39.56823182795974
PALMA;RESIDENCIA ESTUDIANTES MAYOL SL (B57694143);Alta;;RESIDENCIA MAYOL;;Carrer Molí del Garrover, 5. 07010 PALMA, Mallorca;;29/10/2024;ABT/3;;Excepció article 5.5 llei 8/2012, Albergs;430;Allotjaments;;Alberg;19;38;Palma;;
ESPORLES;RENTA MEDITERRANEA SL (B07911803);Alta;;SON FERRA;4388008.79063;ES VERGER KM.2,5, S/N. 07190 ESPORLES, Mallorca;463196.156274;30/06/1992;AG/1;;;;Allotjaments;;Agroturisme;6;11;Esporles;2.571076234225061;39.641071502839985
ALCÚDIA;CAN VERDAL SL (B57953127);Alta;;SON SIURANA;4407189.07;C-713 PALMA-ALCUDIA KM.45, S/N. 07400 ALCÚDIA, Mallorca;504229.32;09/05/2001;AG/100;;;;Allotjaments;;Agroturisme;17;41;Alcúdia;3.0494137059305184;39.81467154150796
SENCELLES;SECTOR RURAL, SL (B57180739);Alta;;CAN RAIÓ;4387853.68653;Polígon 12, PARCELA 119 (FINCA CAN RAIÓ). 07140 SENCELLES, Mallorca;491252.027815;28/05/2001;AG/102;;;;Allotjaments;;Agroturisme;8;16;Sencelles;2.898049120030565;39.64042112234811
BUNYOLA;FINCA SA MANIGA SL (B07966278);Alta;;SA MANIGA;4395039.76;AFORES. S/N. (7-PARCEL.LA 161), S/N. 07110 BUNYOLA, Mallorca;473748.08;11/06/2001;AG/103;;;;Allotjaments;;Agroturisme;6;12;Bunyola;2.6937701570782906;39.704810814498515
SANT LLORENÇ DES CARDASSAR;SUMIVINS 2013, SL (B57825275);Alta;;SHORT DE SA BAGURA;;Polígon 8 Parcel·la 359. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;29/06/2001;AG/104;;;;Allotjaments;;Agroturisme;11;28;Sant Llorenç Del Cardassar;;
CAMPOS;JOSE OLLERS ALCOVER;Alta;;SON LLADO;4358815.25526;Camí DES PALMER, KM 2,3, APT. 157, S/N. 07630 CAMPOS, Mallorca;500356.253308;04/09/2001;AG/106;;;183855;Allotjaments;;Agroturisme;5;20;Campos;3.0041363176381366;39.378813075060876
LLUCMAJOR;AGROTURISME PEROLA 1996, SL (B19370808);Alta;;SA PLETA PEROLA;;Polígon 17 Parcel·la 236. 07620 LLUCMAJOR, Mallorca;;17/09/2001;AG/107;;;;Allotjaments;;Agroturisme;5;10;Llucmajor;;
SÓLLER;HOTEL CAS XORC SL (B07916018);Alta;4 estrelles;CAS XORC;4402563.18;Carretera DEIÀ - SÓLLER, ILLA 63, NÚMERO 238, S/N. 07100 SÓLLER, Mallorca;473020.78;24/10/2001;AG/108;;;;Allotjaments;;Agroturisme;15;30;Sóller;2.684977817233504;39.77257469860693
LLORET DE VISTALEGRE;SA ROTA DEN PALERM SL (B07983208);Alta;;SA ROTA DEN PALERM;4385460.18039;Carretera LLORET DE VISTA ALEGRE- MUNTUÏRI.KM 0,8. SA ROTA DEN PALERM, S/N. 07518 LLORET DE VISTALEGRE, Mallorca;497964.085247;28/02/2002;AG/109;;;297031;Allotjaments;;Agroturisme;8;22;Lloret De Vistalegre;2.976280330036993;39.61889704079455
ALGAIDA;MORGATUR SL (B07856446);Alta;;BINICOMPRAT;4379064.26;Polígon 24-PARCELA,122. 07210 ALGAIDA, Mallorca;492741.97;15/03/2002;AG/110;;;;Allotjaments;;Agroturisme;11;24;Algaida;2.915509515831279;39.56123868559885
BUNYOLA;AGROTURISMO SON PALOU ORIENT SL (B57050510);Alta;;SON PALOU;4398307.21;Polígon 5, PARCEL.LES 8 - 10. 07349 Orient, BUNYOLA, Mallorca;479384.08;17/04/2002;AG/111;;;;Allotjaments;;Agroturisme;15;30;Orient;2.75941145966054;39.734405838139175
CAMPANET;TORRE DES COLOMS SL (B07854243);Alta;;MONNABER VELL;4404587.32;TORRE DES COLOMS, POLIGON 10 PARC, 145. 07310 CAMPANET, Mallorca;495488.69;02/05/2002;AG/112;;;;Allotjaments;;Agroturisme;15;30;Campanet;2.9473095305139276;39.7912280478261
ARTÀ;PAPA PIZZA JANIN, CB (E57256513);Alta;;CASES DE SON DUC;4391884.62;Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca;532939.55;17/06/2002;AG/113;;;;Allotjaments;;Agroturisme;4;8;Artà;3.3840823053256557;39.67615079837701
MONTUÏRI;ANTONIO RIBAS MOLL;Alta;;ES RAFAL;4381887.12;Carretera LLORET, KM 15, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca;498548.53;04/07/2002;AG/114;;;21000;Allotjaments;;Agroturisme;8;18;Montuïri;2.983097302136481;39.58670345248345
LLUCMAJOR;JOSE LUIS SANCHEZ TELLEZ;Alta;;SON ESTRANY;4368590.14;19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca;494796.02;04/07/2002;AG/115;;;;Allotjaments;;Agroturisme;12;24;Llucmajor;2.9395025425924017;39.466875979555866
VALLDEMOSSA;VISTAMAR DE VALLDEMOSSA SL (B07537392);Alta;;SES CASES DE CAS GARRIGUER;4395524.19381;VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca;465967.914209;30/07/2002;AG/116;;;;Allotjaments;;Agroturisme;10;20;Valldemossa;2.6029909680381;39.708900766616644
SINEU;PARADIS DES PLA SL (B57908428);Alta;;SA CASA ROTJA;4388507.22653;SINEU-MURO, KM 3,2. POLIGON 7, PARCELAS 265, 266, 267, 268, S/N. 07510 SINEU, Mallorca;501820.03446;01/07/2002;AG/117;;;;Allotjaments;;Agroturisme;7;24;Sineu;3.021212914433994;39.646352554053884
SÓLLER;CAN POMA SOLLER SL (B07844384);Alta;;CAN POMA;4402819.2752;SON FERRAGUT, S/N. 07100 SÓLLER, Mallorca;474848.879044;03/09/2002;AG/118;;;;Allotjaments;;Agroturisme;6;12;Sóller;2.706313490267097;39.77493809961247
SANTA MARGALIDA;PROFITUR INVERSION SL (B07774003);Alta;;SANTA EULALIA;4396805.83895;Carretera SANTA MARGALIDA-ALCUDIA, KM 6. POL. 15. PARCEL.LA 3, S/N. 07450 SANTA MARGALIDA, Mallorca;513259.087971;13/11/2002;AG/119;;;;Allotjaments;;Agroturisme;12;24;Santa Margalida;3.1547041808455867;39.72102437160701
FORNALUTX;MIGUEL OLIVER Y PASTOR SL (B07709132);Alta;;BALITX DAVALL CAN GORDO;4405176.22482;SOLLER-LLUC, S/N. 07109 FORNALUTX, Mallorca;478700.805311;27/05/1993;AG/12;;;;Allotjaments;;Agroturisme;10;19;Fornalutx;2.751215047195721;39.79627943684733
FELANITX;SIGRID SULZER;Alta;;CAN BOTA;4368947.82471;DE SON AMARET, 128. 07200 FELANITX, Mallorca;512798.006841;25/11/2002;AG/120;;;;Allotjaments;;Agroturisme;7;14;Felanitx;3.148786423312522;39.470019500311444
SANTANYÍ;ANTONIA FORTEZA GARI;Alta;;SON MARIMON;4357646.43;7 - PARCELA 780, S/N. 07650 SANTANYÍ, Mallorca;513974.01;25/02/2003;AG/121;;;;Allotjaments;;Agroturisme;9;18;Santanyí;3.1622220785229866;39.36816805644133
VALLDEMOSSA;HOTEL VALLDEMOSSA, SLU (B56247729);Alta;;VALLDEMOSSA;4394961.29144;Carretera VELLA DE VALLDEMOSSA. 32-33 I PART DE LA 31, S/N. 07170 VALLDEMOSSA, Mallorca;467424.217887;24/04/2003;AG/122;;;;Allotjaments;;Agroturisme;12;24;Valldemossa;2.620007272904996;39.70388582692958
PUIGPUNYENT;CAN LLOETA, SL (B57597767);Alta;;SON BURGUET;4385138.06;PARCEL·LA 124, POLIGON 3, S/N. 07194 PUIGPUNYENT, Mallorca;462483.63;05/05/2003;AG/123;;;;Allotjaments;;Agroturisme;6;12;Puigpunyent;2.5629352240522714;39.615174918508735
VILAFRANCA DE BONANY;AYURVILA MALLORCA, SL (B13989009);Alta;;SA FRANQUESA VELLA;4377118.34612;Carretera PETRA-FELANITX (PM 511, ENCREUAMENT SES BASSES) KM 3,8. POLIGONS 3 I 4, PARCEL.LES 1367,340 I 342, S/N. 07250 VILAFRANCA DE BONANY, Mallorca;512021.081924;06/05/2003;AG/124;;;;Allotjaments;;Agroturisme;9;20;Vilafranca De Bonany;3.139901666421035;39.543651547212576
